SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Quality Assurance & Risk Management,Edit WSACA Legislative Handout Insert,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Proofreading and Quality Assurance, Graphic Design",2019-04-16,07:12:00 PM
Quality Assurance & Risk Management,Update 2020 Census Countdown Timer,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-04-16,19:14:00
Quality Assurance and Risk Mgmt,PRIA Local Event Invitation,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",16-04-2019,19:17:00
Environmental and Civil Engin,Chambers New Greens PCTV Video on Social,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-16,07:24:00 PM
Environmental and Civil Eng,New Greens/Re-opening Announcement for Chambers Bay,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,16-04-2019,07:24:00 PM
Quality Assurance and Risk Mgmt,Spanish Language Day Video for Social,,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,"Social Media Strategy, Video Editing and Production",2019-04-17,05:46:00 PM
Quality Assurance and Risk Manag,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,,2019-04-17,05:50:00 PM
Quality Assurance and Risk Manag,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,,17-04-2019,05:51:00 PM
Quality Assurance and Risk Manag,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,,17-04-2019,17:51:00
Quality Assurance and Risk Manag,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-17,05:52:00 PM
Quality Assurance and Risk Mgmt,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-17,17:52:00
Quality Assurance and Risk Manag,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,17-04-2019,17:53:00
Quality Assurance and Risk Mgmt,Felony Convictions Voting Information Card,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",23-04-2019,03:15:00 PM
Technical Communication & Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-04-23,06:11:00 PM
Quality Assurance and Risk Manag,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,23-04-2019,06:12:00 PM
Quality Assurance and Risk Mgmt,Update Employee Newsletter,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance",2019-04-29,08:01:00 PM
Quality Assurance and Risk Manag,Update Letterhead,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-04-30,19:26:00
Quality Assurance and Risk Manag,Add New Pet License Agent to Website,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,30-04-2019,07:28:00 PM
Financal Engineering,Benefits Guide update,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,,30-04-2019,19:38:00
Quality Assurance and Risk Manag,Point of Assistant Logo,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-04-30,08:22:00 PM
Financal Engineering,Event Flyer for Meet and Greets,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-05-02,18:43:00
Quality Assurance and Risk Manag,"Rebrand ""Be a Pierce County Voter"" Logo Badges",,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Website Programming, Graphic Design",2019-05-02,20:13:00
Quality Assurance and Risk Mgmt,Create Clallam County version of Point of Assistance Logo,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,,2019-05-02,22:17:00
Quality Assurance & Risk Management,Translated Magnets for Drop,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,,2019-05-06,15:40:00
Quality Assurance and Risk Manag,When a Loved One Dies Brochure - Edits and Prints,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-05-07,16:09:00
Quality Assurance & Risk Management,Point of Assistance Training Material Graphics,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-05-07,18:20:00
Academic Affairs and Staff Devel,Flyer for Recruitment Efforts,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-05-08,05:53:00 PM
Quality Assurance & Risk Management,PRIA Local Materials,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Technical Documentation,2019-05-13,07:24:00 PM
Technical Comm and Media,Analytics for Q1,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,07:36:00 PM
Tech Communication and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,19:38:00
Technical Comm and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,07:39:00 PM
Quality Assurance and Risk Manag,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,07:39:00 PM
Quality Assurance & Risk Management,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,07:40:00 PM
Quality Assurance & Risk Management,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,07:41:00 PM
Tech Communication and Media,Social Planning,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,13-05-2019,07:41:00 PM
Governance and Poli stud,Council Committee Priorities Brochure Design,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-05-13,07:43:00 PM
Quality Assurance and Risk Manag,SWAG Reorder/New SWAG,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-05-16,19:31:00
Quality Assurance and Risk Mgmt,Design New Elections Apparel,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",16-05-2019,07:33:00 PM
Quality Assurance & Risk Management,Rebrand All TV Screen Slides,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,16-05-2019,20:19:00
Quality Assurance and Risk Mgmt,Lobby Wayfinding,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-05-16,20:24:00
Quality Assurance & Risk Management,Updated Business Cards,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",23-05-2019,06:20:00 PM
Engineering Leadership & Strategy,Printed/Cut Postcards,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Technical Documentation,2019-05-31,17:24:00
Engineering Leadership and Strat,Boards & Commissions Website Updates,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,"Website Programming, Graphic Design, Proofreading and Quality Assurance",2019-05-31,17:26:00
Quality Assurance and Risk Manag,Update Forms,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,31-05-2019,17:27:00
Quality Assurance & Risk Management,Recording Fee Increases,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-05-31,05:41:00 PM
Technical Comm and Media,2020 Census Banners,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Website Programming",2019-05-31,19:20:00
Academic Affairs & Staff Development,Design Outreach Displays,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",04-06-2019,15:26:00
Quality Assurance and Risk Manag,GIS Theme Icons,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-06-05,06:19:00 PM
Quality Assurance & Risk Management,"Change ""When a Loved One Dies"" Brochure Photo",,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",07-06-2019,05:28:00 PM
Quality Assurance and Risk Manag,Ballot Transfer Parody Video,,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,11-06-2019,19:44:00
Academic Affairs and Staff Devel,Design Web Banners for Job Posting,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-06-13,06:45:00 PM
Quality Assurance & Risk Management,Add Notice to Licensing Page,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,18-06-2019,14:41:00
Quality Assurance & Risk Management,Voting Rights Poster Updates,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-06-18,15:25:00
Quality Assurance and Risk Manag,Add Licensing Staffing Alert to Web,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,18-06-2019,19:43:00
Quality Assurance and Risk Manag,Auditor's Office Contact Card,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",19-06-2019,19:58:00
Quality Assurance and Risk Manag,Passport Checklist/Handout,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-07-01,20:52:00
Quality Assurance & Risk Management,Small Drop Box Quote Process,,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,,01-07-2019,08:56:00 PM
Quality Assurance and Risk Mgmt,Small Drop Box Artwork,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-07-01,08:57:00 PM
Quality Assurance and Risk Mgmt,Pawnbroker/Adult Entertainer Form Updates,,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,"Technical Documentation, Website Programming, Graphic Design",2019-07-01,20:59:00
Quality Assurance and Risk Mgmt,Pawnbroker/Adult Entertainer Form Updates,,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,"Technical Documentation, Website Programming",01-07-2019,09:00:00 PM
Safety Engineering & Crisis Management,Burn Ban Post on Social,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,01-07-2019,09:01:00 PM
Safety Eng and Crisis Management,Schedule Fireworks Posts,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-07-01,09:02:00 PM
Quality Assurance and Risk Mgmt,Translated Felony Convictions Card,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-07-01,09:04:00 PM
Quality Assurance and Risk Manag,POA Feeback Survey Postcards,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Video Editing, Graphic Design",2019-07-02,14:03:00
Quality Assurance and Risk Mgmt,Turn Voters' Pamphlet into eBook for Website,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-07-02,02:15:00 PM
Quality Assurance and Risk Mgmt,August 2019 Primary At-a-Glance,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",02-07-2019,14:21:00
Quality Assurance and Risk Manag,General Election Envelope Designs - 2019,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",09-07-2019,14:29:00
Quality Assurance & Risk Management,Drop Box Moved Sign,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-07-12,17:24:00
Quality Assurance & Risk Management,Internal Letterhead,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-07-15,17:52:00
Quality Assurance and Risk Mgmt,Backfile Project Chart,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-07-16,03:33:00 PM
Quality Assurance and Risk Manag,Fees Poster Update,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-07-16,16:48:00
Academic Affairs and Staff Devel,HR4U Logo Design,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,18-07-2019,09:50:00 PM
Quality Assurance and Risk Manag,Cambodian/Vietnamese Voting in WA Video,,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,2019-07-23,16:43:00
Quality Assurance and Risk Mgmt,Design Internal Newsletter for Strat Plan Updates,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-07-31,18:31:00
Quality Assurance and Risk Mgmt,Submit 2020 Census Materials for Translation,,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,,05-08-2019,17:11:00
Quality Assurance & Risk Management,Add Census Job to Website and Social,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,"Social Media Strategy, Website Programming",05-08-2019,05:12:00 PM
Quality Assurance & Risk Management,POA Social Graphic and Text for Libraries,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design, Writing and Editing",2019-08-05,05:14:00 PM
Quality Assurance and Risk Mgmt,Media Advisory: Auditor seeks to appoint committee members for voters’ pamphlet,,kfoulstone0@instagram.com,News Writing and Editing,Fatima Zahra El Idrissi,Proofreading and Quality Assurance,07-08-2019,05:32:00 PM
Quality Assurance and Risk Manag,Special three-day candidate filing period,,kfoulstone0@instagram.com,News Writing and Editing,Fatima Zahra El Idrissi,"Proofreading and Quality Assurance, News and Media Communication",2019-08-09,17:10:00
Engineering Leadership and Strat,Reformat/Design DEI PowerPoint,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,13-08-2019,02:34:00 PM
Engineering Leadership and Strat,Arts Commission Email Flyer,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,16-08-2019,18:47:00
Engineering Leadership & Strategy,Arts Commission Social Post and Graphic,,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design",16-08-2019,18:48:00
Quality Assurance and Risk Mgmt,Redo Census Website,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,"Graphic Design, Website Programming",21-08-2019,09:20:00 PM
Technical Communication & Media,Create Aesthetic and Design Guidelines Manual for Social Media,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Social Media Strategy, Graphic Design, Technical Documentation, Video Editing",27-08-2019,19:25:00
Quality Assurance & Risk Management,Update Animal Control Door Hanger,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-08-28,17:32:00
Safety Engineering and Crisis Mgmt,Preparedness Continuum,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",03-09-2019,14:51:00
Quality Assurance and Risk Mgmt,Jurisdiction of the Year - Ceiling Banner,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",03-09-2019,14:57:00
Quality Assurance & Risk Management,Re-brand Elections Address Labels,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",03-09-2019,15:01:00
Quality Assurance and Risk Manag,Package Delivery Sign,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",03-09-2019,03:02:00 PM
Quality Assurance and Risk Mgmt,Voter Outreach Campaign #1 Planning,,kfoulstone0@instagram.com,Strategic Planning and Project Management,Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Public Relations, News and Media Communication, Writing and Editing, Video Editing and Production, Website Programming, Social Media Strategy, Public Outreach and Engagement, Video Editing, Technical Documentation",2019-09-03,03:06:00 PM
Quality Assurance & Risk Management,Run SOS Election Ads on TV Tacoma/PCTV,,kfoulstone0@instagram.com,Video Editing and Production,Fatima Zahra El Idrissi,Video Editing and Production,2019-09-03,15:08:00
Quality Assurance and Risk Mgmt,Directional Signing for Tour,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-09-04,02:43:00 PM
Quality Assurance & Risk Management,General Election Insert Design Edits,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-09-09,05:05:00 PM
Safety Engineering & Crisis Management,2019 Shakeout Flyer,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-09-19,03:49:00 PM
Financial Eng,PEBB Information Sessions Banner,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,23-09-2019,05:50:00 PM
Financial Enginering,PEBB Information Session Banner,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-09-23,05:51:00 PM
Quality Assurance & Risk Management,Nov 5 General Election at a Glance,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-09-23,05:52:00 PM
Quality Assurance and Risk Mgmt,Oct 14 Office Closure,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation, Social Media Strategy, Website Programming",2019-09-23,05:54:00 PM
Quality Assurance and Risk Mgmt,Turn Nov 5 General Election Pamphlets in Flip-books for Website,,kfoulstone0@instagram.com,Website Programming,Fatima Zahra El Idrissi,Website Programming,2019-09-23,17:55:00
Quality Assurance & Risk Management,Updated Business Cardsa,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,23-09-2019,18:22:00
Financial Enginering,Budget Book Cover Art Mockup,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy",Fatima Zahra El Idrissi,,24-09-2019,12:00:00 AM
Technical Communication & Media,WACO Presentation,,kfoulstone0@instagram.com,,Fatima Zahra El Idrissi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy",2019-09-27,00:00:00
Quality Assurance and Risk Manag,PowerPoint Template,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,27-09-2019,16:04:00
Quality Assurance and Risk Mgmt,POA - Bookmark,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,2019-09-27,16:05:00
Quality Assurance & Risk Management,Update Finance of Elections,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,Graphic Design,27-09-2019,04:07:00 PM
Quality Assurance and Risk Manag,Military Benefits Brochure Updates,,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",01-10-2019,00:00:00
