SchoolDepartment,CourseTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour,StartTime
Financial Eng,TPCHD Directory Update and Announcement,2020-12-22 22:46:00,aoldam5@eepurl.com,"Internal and External Communication, Website Programming",Ahmed Bouzoubaa,No Skill,2020-11-30,22:01:00,2020-11-30 22:01:00
Academic Affairs & Staff Development,Remote Worker Training Video,2021-01-04 23:30:00,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,Video Editing and Production,2020-12-03,00:22:00,2020-12-03 00:22:00
Financal Engineering,GIS Outage Announcement,2021-01-13 18:09:00,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,"Website Programming, News and Media Communication",2020-12-08,20:21:00,2020-12-08 20:21:00
Financial Eng,Zoom/Teams virtual backgrounds,2021-01-13 18:45:00,aoldam5@eepurl.com,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Ahmed Bouzoubaa,"Website Programming, Graphic Design",2020-12-09,00:27:00,2020-12-09 00:27:00
Financial Eng,Update O365 Training Calendar for 2021,2021-01-14 17:46:00,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,Website Programming,2020-12-22,22:43:00,2020-12-22 22:43:00
Financial Eng,GIS Training Calendar Update,2021-01-22 22:54:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-12-22,22:46:00,2020-12-22 22:46:00
Financal Engineering,Microsoft Edge Announcement,2021-02-24 01:00:00,aoldam5@eepurl.com,"Internal and External Communication, Website Programming",Ahmed Bouzoubaa,"Website Programming, Internal and External Communication",2021-01-04,23:30:00,2021-01-04 23:30:00
Financial Enginering,Fix Risk Manager link,2021-02-24 01:15:00,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2021-01-13,18:09:00,2021-01-13 18:09:00
Financal Engineering,John Humen Retirement Notice,2021-02-24 01:31:00,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,Internal and External Communication,2021-01-13,18:45:00,2021-01-13 18:45:00
Financial Eng,NetMotion Announcement,2021-02-24 01:40:00,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,Internal and External Communication,2021-01-14,17:46:00,2021-01-14 17:46:00
Financial Enginering,Tyler Award Edits,2021-07-01 01:45:00,aoldam5@eepurl.com,"Communication Planning/Strategy, Technical Writing",Ahmed Bouzoubaa,"Writing and Editing, Proofreading and Quality Assurance",2021-01-22,22:54:00,2021-01-22 22:54:00
Financial Enginering,Update Communications Directory,Not Finished,aoldam5@eepurl.com,"Website Programming, Data Collection Tools",Ahmed Bouzoubaa,No Skill,2021-02-24,01:00:00,2021-02-24 01:00:00
Financal Engineering,NACO Award Submission,Not Finished,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,"Proofreading and Quality Assurance, Event Coordination",2021-02-24,01:15:00,2021-02-24 01:15:00
Financal Engineering,Renee Lomax Profile,Not Finished,aoldam5@eepurl.com,Unknoun,Ahmed Bouzoubaa,Social Media Strategy,2021-02-24,01:31:00,2021-02-24 01:31:00
Financal Engineering,Post spring Office 365 Classes,Not Finished,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2021-02-24,01:40:00,2021-02-24 01:40:00
Financial Eng,Create new security training page,Not Finished,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2021-07-01,01:45:00,2021-07-01 01:45:00
Financal Engineering,Power Outage Announcement,Not Finished,unvalid,Internal and External Communication,"Ahmed Bouzoubaa, Rachid Khattabi","Public Relations, Writing and Editing",2020-09-25,21:16:00,2020-09-25 21:16:00
Quality Assurance and Risk Manag,Notice of Canvassing Board meeting,2019-01-11 19:15:00,stonsley1@nih.gov,News Writing and Editing,Amina Benkirane,"Proofreading and Quality Assurance, Website Programming, News and Media Communication",2018-10-23,22:24:00,2018-10-23 22:24:00
Quality Assurance and Risk Mgmt,eRecording 1/2 Sheet Flyer,2019-01-11 19:22:00,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Writing and Editing",2019-01-11,18:43:00,2019-01-11 18:43:00
Quality Assurance and Risk Manag,Restrictive Covenants Brochure,2019-01-11 20:43:00,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Website Programming, Technical Documentation, Graphic Design",2019-01-11,18:45:00,2019-01-11 18:45:00
Quality Assurance and Risk Manag,Transition piercecountypets.org to Civic Page,2019-01-14 18:11:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-11,18:51:00,2019-01-11 18:51:00
Governance and Poli stud,Opioid Task Force Webpage Edits,2019-01-14 21:46:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-11,19:03:00,2019-01-11 19:03:00
Engineering Leadership & Strategy,Inside Pierce County Video Logo,2019-01-17 17:10:00,stonsley1@nih.gov,Technical Writing,Amina Benkirane,"Video Editing and Production, Proofreading and Quality Assurance, Graphic Design",2019-01-11,19:15:00,2019-01-11 19:15:00
Safety Engineering and Crisis Mgmt,Review Marketing Articles,2019-01-17 21:29:00,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Social Media Strategy,2019-01-11,19:22:00,2019-01-11 19:22:00
Administrative and Procedural Engin,Create Facebook Page for District COourt,2019-01-18 18:31:00,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Graphic Design, Social Media Strategy",2019-01-11,20:43:00,2019-01-11 20:43:00
Administrative & Procedural Engineering,New Web Banner,2019-01-28 21:03:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Graphic Design, Website Programming",2019-01-14,18:11:00,2019-01-14 18:11:00
Quality Assurance and Risk Mgmt,Roster Application Edit,2019-01-29 21:48:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-14,21:46:00,2019-01-14 21:46:00
Quality Assurance and Risk Mgmt,Upload 2019 Voting in WA Translated Videos to YouTube,2019-01-31 22:08:00,stonsley1@nih.gov,Video Editing and Production,Amina Benkirane,Video Editing and Production,2019-01-17,17:10:00,2019-01-17 17:10:00
Quality Assurance and Risk Mgmt,Pet Agent Removal from Website,2019-01-31 22:10:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-17,21:29:00,2019-01-17 21:29:00
Administrative & Procedural Engineering,Social Post - Foley Retirement,2019-02-01 17:46:00,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,2019-01-18,18:31:00,2019-01-18 18:31:00
Quality Assurance & Risk Management,Secondhand/Pawn Application,2019-02-06 18:39:00,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Writing and Editing, Proofreading and Quality Assurance",2019-01-28,21:03:00,2019-01-28 21:03:00
Quality Assurance and Risk Mgmt,Add Graphic to Census Webpage,2019-02-07 16:58:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-29,21:48:00,2019-01-29 21:48:00
Quality Assurance and Risk Manag,Census Website Updates,2019-02-07 22:48:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-01-31,22:08:00,2019-01-31 22:08:00
Quality Assurance and Risk Manag,Census Event - eFlyer Invite Design and Send,2019-02-13 01:18:00,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,Graphic Design,2019-01-31,22:10:00,2019-01-31 22:10:00
Technical Communication & Media,Update Cover Photos and Profile Pictures,2019-02-13 22:42:00,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Social Media Strategy, Graphic Design",2019-02-01,17:46:00,2019-02-01 17:46:00
Partnerships and External Collabor,Measles Outbreak Messaging,2019-02-13 22:52:00,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,2019-02-06,18:39:00,2019-02-06 18:39:00
Quality Assurance and Risk Mgmt,Pet Agent Roster Web Edits,2019-02-13 23:13:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-02-07,16:58:00,2019-02-07 16:58:00
Quality Assurance and Risk Manag,TV Screen Slide - Holiday Closures 2019,2019-02-19 17:31:00,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,Graphic Design,2019-02-07,22:48:00,2019-02-07 22:48:00
Quality Assurance and Risk Mgmt,Valentine's for Voters,2019-02-19 19:58:00,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Social Media Strategy, Graphic Design",2019-02-13,01:18:00,2019-02-13 01:18:00
Quality Assurance & Risk Management,Promote Local 2020 Census Jobs,2019-02-21 22:51:00,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,"Social Media Strategy, Website Programming",2019-02-13,22:42:00,2019-02-13 22:42:00
Quality Assurance & Risk Management,Film and Edit Video for Election Extra-Hires,2019-02-25 21:17:00,stonsley1@nih.gov,Video Editing and Production,Amina Benkirane,"Video Editing and Production, Proofreading and Quality Assurance, Graphic Design",2019-02-13,22:52:00,2019-02-13 22:52:00
Safety Eng and Crisis Management,EM Social Post for Valentine's Day,2019-02-25 21:35:00,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,2019-02-13,23:13:00,2019-02-13 23:13:00
Governance and Policy Stud,Create Social Graphic for Council Meetings,2019-02-25 22:31:00,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Social Media Strategy, Graphic Design, Writing and Editing",2019-02-19,17:31:00,2019-02-19 17:31:00
Quality Assurance & Risk Management,Schedule Census Provided Posts/Images on Social,2019-02-25 22:31:00,stonsley1@nih.gov,Social Media Strategy,Amina Benkirane,Social Media Strategy,2019-02-19,19:58:00,2019-02-19 19:58:00
Quality Assurance and Risk Mgmt,Add New Pet Agent to Website and Remove Late Fees,2019-02-25 22:38:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Writing and Editing, Website Programming",2019-02-21,22:51:00,2019-02-21 22:51:00
Quality Assurance and Risk Manag,Update Contact on Website,2019-02-25 22:44:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-02-25,21:17:00,2019-02-25 21:17:00
Quality Assurance & Risk Management,Fix Links on new piercecountypets.org Portal,2019-05-02 20:19:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-02-25,21:35:00,2019-02-25 21:35:00
Quality Assurance and Risk Manag,Send Census Event Reminder Email 2,2019-05-02 20:30:00,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Public Outreach and Engagement,2019-02-25,22:31:00,2019-02-25 22:31:00
Quality Assurance & Risk Management,Send Census Reminder Email 1,2019-11-01 18:36:00,stonsley1@nih.gov,Technical Writing,Amina Benkirane,No Skill,2019-02-25,22:31:00,2019-02-25 22:31:00
Quality Assurance and Risk Manag,Send Census Event Reschedule Email,2019-11-01 18:37:00,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Public Outreach and Engagement,2019-02-25,22:38:00,2019-02-25 22:38:00
Quality Assurance and Risk Manag,Send Corrected Census Event Email,2019-11-01 18:39:00,stonsley1@nih.gov,Technical Writing,Amina Benkirane,Public Outreach and Engagement,2019-02-25,22:44:00,2019-02-25 22:44:00
Quality Assurance and Risk Mgmt,Pet Agent Roster Website Change,2019-11-01 18:40:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-05-02,20:19:00,2019-05-02 20:19:00
Quality Assurance and Risk Manag,Pet Agent Roster Contract Update,2019-11-01 18:49:00,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Website Programming, Technical Documentation, Proofreading and Quality Assurance",2019-05-02,20:30:00,2019-05-02 20:30:00
Quality Assurance and Risk Mgmt,Extra Hire Recruitment Postcard,2019-11-01 19:24:00,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Graphic Design, Writing and Editing, Technical Documentation, Video Editing",2019-11-01,18:36:00,2019-11-01 18:36:00
Quality Assurance and Risk Manag,Recording Fee Website Edits,Not Finished,stonsley1@nih.gov,Website Programming,Amina Benkirane,Website Programming,2019-11-01,18:37:00,2019-11-01 18:37:00
Quality Assurance & Risk Management,Election at a Glance - Feb. 2019 Special Election,Not Finished,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Graphic Design, Website Programming, Social Media Strategy",2019-11-01,18:39:00,2019-11-01 18:39:00
Quality Assurance & Risk Management,Pet Agent Roster Web,Not Finished,stonsley1@nih.gov,Website Programming,Amina Benkirane,"Proofreading and Quality Assurance, Website Programming, Graphic Design",2019-11-01,18:40:00,2019-11-01 18:40:00
Quality Assurance and Risk Mgmt,Covenant Search Instructions Brochure,Not Finished,stonsley1@nih.gov,"Printed Material (Posters, Brochures, Reports)",Amina Benkirane,"Technical Documentation, Graphic Design, Website Programming",2019-11-01,18:49:00,2019-11-01 18:49:00
Governance & Policy Studies,2018 Council Communications Infographic,Not Finished,stonsley1@nih.gov,"Graphic Design/Marketing (Posters, Brochures, Reports)",Amina Benkirane,"Social Media Strategy, Graphic Design",2019-11-01,19:24:00,2019-11-01 19:24:00
Quality Assurance and Risk Manag,Animal Control Banner,2019-02-06 18:42:00,unvalid,"Printed Material (Posters, Brochures, Reports)","Amina Benkirane, Fatima Zahra El Idrissi",Graphic Design,2019-01-11,18:55:00,2019-01-11 18:55:00
Humanitarian Engineering & Outreach,Volunteer Appreciation Campaign,2019-02-13 22:49:00,unvalid,Technical Writing,"Amina Benkirane, Fatima Zahra El Idrissi","Social Media Strategy, Website Programming, Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Video Editing and Production, Public Outreach and Engagement",2019-01-11,19:09:00,2019-01-11 19:09:00
Quality Assurance and Risk Manag,Strategic Plan,2019-02-13 23:19:00,unvalid,"Graphic Design/Marketing (Posters, Brochures, Reports)","Amina Benkirane, Fatima Zahra El Idrissi","Writing and Editing, Website Programming, Graphic Design, Proofreading and Quality Assurance, Video Editing, Technical Documentation",2019-01-29,18:25:00,2019-01-29 18:25:00
Quality Assurance and Risk Manag,Create Auditor's Office Signature Block,2019-02-21 22:48:00,unvalid,Technical Writing,"Amina Benkirane, Fatima Zahra El Idrissi",Graphic Design,2019-01-29,18:25:00,2019-01-29 18:25:00
Engineering Leadership & Strategy,Board and Commissions recruiting flyer,2019-02-21 22:50:00,unvalid,"Graphic Design/Marketing (Posters, Brochures, Reports)","Amina Benkirane, Fatima Zahra El Idrissi","Graphic Design, Technical Documentation, Website Programming",2019-02-01,23:37:00,2019-02-01 23:37:00
Safety Engineering & Crisis Management,ALERT Messaging for Social,2019-02-25 16:50:00,unvalid,Social Media Strategy,"Amina Benkirane, Fatima Zahra El Idrissi","Social Media Strategy, Graphic Design, Writing and Editing, Proofreading and Quality Assurance",2019-02-06,18:42:00,2019-02-06 18:42:00
Quality Assurance and Risk Manag,Review The Role of the Auditor Document,2019-02-25 18:38:00,unvalid,Technical Writing,"Amina Benkirane, Fatima Zahra El Idrissi",Writing and Editing,2019-02-13,22:49:00,2019-02-13 22:49:00
Quality Assurance & Risk Management,Create Instructions for Pulling Inquiries for Subagent Registry,2019-11-01 18:47:00,unvalid,Website Programming,"Amina Benkirane, Fatima Zahra El Idrissi","Writing and Editing, Website Programming, Graphic Design",2019-02-13,23:19:00,2019-02-13 23:19:00
Quality Assurance and Risk Manag,Website and Forms Update,2019-11-01 19:20:00,unvalid,"Graphic Design/Marketing (Posters, Brochures, Reports)","Amina Benkirane, Fatima Zahra El Idrissi","Graphic Design, Technical Documentation, Website Programming, Social Media Strategy, Proofreading and Quality Assurance, Public Outreach and Engagement",2019-02-21,22:48:00,2019-02-21 22:48:00
Quality Assurance & Risk Management,Website Banner Images for eRecording and Restrictive Covenants,Not Finished,unvalid,"Graphic Design/Marketing (Posters, Brochures, Reports)","Amina Benkirane, Fatima Zahra El Idrissi","Website Programming, Proofreading and Quality Assurance, Graphic Design",2019-02-21,22:50:00,2019-02-21 22:50:00
Quality Assurance & Risk Management,2018 At a Glance,Not Finished,unvalid,"Graphic Design/Marketing (Posters, Brochures, Reports)","Amina Benkirane, Fatima Zahra El Idrissi","Proofreading and Quality Assurance, Graphic Design, Technical Documentation, Writing and Editing",2019-02-25,16:50:00,2019-02-25 16:50:00
Quality Assurance and Risk Mgmt,Media Resource Page for Elections,Not Finished,unvalid,Website Programming,"Amina Benkirane, Fatima Zahra El Idrissi","Graphic Design, Public Relations, Video Editing and Production, Video Editing",2019-02-25,18:38:00,2019-02-25 18:38:00
Quality Assurance and Risk Manag,Redesign Election Webpages,Not Finished,unvalid,Website Programming,"Amina Benkirane, Fatima Zahra El Idrissi","Website Programming, Graphic Design, Writing and Editing, Proofreading and Quality Assurance, Video Editing",2019-11-01,18:47:00,2019-11-01 18:47:00
Safety Engineering & Crisis Management,Volcano Cutout Brochure,Not Finished,unvalid,Unknoun,"Amina Benkirane, Fatima Zahra El Idrissi","Graphic Design, Website Programming, Writing and Editing, Proofreading and Quality Assurance, Technical Documentation",2019-11-01,19:20:00,2019-11-01 19:20:00
Quality Assurance & Risk Management,Small Drop Box Quote Process,2019-02-07 14:21:00,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,No Skill,2019-01-07,20:56:00,2019-01-07 20:56:00
Quality Assurance and Risk Mgmt,Pawnbroker/Adult Entertainer Form Updates,2019-03-04 22:27:00,kfoulstone0@instagram.com,Technical Writing,Fatima Zahra El Idrissi,"Technical Documentation, Website Programming",2019-01-07,21:00:00,2019-01-07 21:00:00
Safety Engineering & Crisis Management,Burn Ban Post on Social,2019-03-09 14:51:00,kfoulstone0@instagram.com,Social Media Strategy,Fatima Zahra El Idrissi,Social Media Strategy,2019-01-07,21:01:00,2019-01-07 21:01:00
Quality Assurance and Risk Manag,Military Benefits Brochure Updates,2019-03-09 14:57:00,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",2019-01-10,00:00:00,2019-01-10 00:00:00
Quality Assurance and Risk Mgmt,Updated Business Cards,2019-03-09 15:01:00,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-01-10,00:00:00,2019-01-10 00:00:00
Quality Assurance and Risk Mgmt,August 2019 Primary At-a-Glance,2019-03-09 15:02:00,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Technical Documentation, Graphic Design",2019-02-07,14:21:00,2019-02-07 14:21:00
Quality Assurance and Risk Manag,FJC Shred Event Flyer,2019-03-15 18:53:00,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Video Editing, Graphic Design, Technical Documentation, News and Media Communication",2019-03-04,22:27:00,2019-03-04 22:27:00
Safety Engineering and Crisis Mgmt,Preparedness Continuum,2019-03-15 19:03:00,kfoulstone0@instagram.com,"Graphic Design/Marketing (Posters, Brochures, Reports)",Fatima Zahra El Idrissi,"Graphic Design, Technical Documentation",2019-03-09,14:51:00,2019-03-09 14:51:00
